시군구명,어린이집수,국공립/민간비율,보육교사수,보육교사 1인당 아동수,전체 충족률,일반출생률,신혼부부,보육시설 아동비율
강남구,0.450184502,0.208192771,0.462040056,0.307692308,0.222885033,0.144671862,0.483327357,0
강동구,0.645756458,0.488192771,0.608290638,0.923076923,0.796637744,0.669853367,0.665041233,0.258807433
강북구,0.225092251,0.573855422,0.148113647,1,0.559652928,0.111898516,0.209035497,0.691298098
강서구,0.94095941,1,0.777363763,0.692307692,0.648590022,0.646039054,0.927214055,0.282419392
관악구,0.461254613,0.138554217,0.324639031,0.692307692,0.445227766,0,0.532664037,0.391283646
광진구,0.32103321,0.375421687,0.203539823,0.538461538,0.567787419,0.16873759,0.364144855,0.257241397
구로구,0.749077491,0.323975904,0.538891476,0.846153846,0.690889371,0.777218407,0.606740767,0.44355155
금천구,0.250922509,0.467831325,0.163018165,0.615384615,0.227223427,0.496461126,0.204589459,0.792003081
노원구,0.948339483,0.371325301,0.586865394,0.230769231,0.610086768,0.31313785,0.557690929,0.188524631
도봉구,0.394833948,0.474578313,0.237540755,0.615384615,0.500542299,0.239500484,0.252061671,0.478046535
동대문구,0.461254613,0.248554217,0.261760596,0.769230769,0.721258134,0.521283304,0.35546791,0.265796424
동작구,0.435424354,0.186987952,0.322775966,0.615384615,0.811279826,0.502037327,0.450125493,0.146729405
마포구,0.468634686,0.084216867,0.376804844,0.461538462,0.795010846,0.396365397,0.492506275,0.129000916
서대문구,0.247232472,0.203493976,0.181183046,0.692307692,0.812364425,0.447046636,0.316385801,0.118986158
서초구,0.391143911,0.104819277,0.442943642,0.538461538,0.485900217,0.477241205,0.442165651,0.087124168
성동구,0.346863469,0,0.25151374,0.461538462,0.59164859,1,0.433058444,0.054059169
성북구,0.538745387,0.246987952,0.41266884,0.538461538,0.821583514,0.376696455,0.478235927,0.126652586
송파구,1,0.561084337,1,0.615384615,1,0.610555988,1,0.145450108
양천구,0.656826568,0.26060241,0.423847229,0.846153846,0.588937093,0.221827933,0.429974901,0.330683381
영등포구,0.608856089,0.490361446,0.61900326,0.384615385,0.74186551,0.755086118,0.621871639,0.393451044
용산구,0.151291513,0.512771084,0.066604565,0.538461538,0.740780911,0.514586666,0.217640731,0.207775943
은평구,0.549815498,0.817108434,0.578481602,0.615384615,0.539045553,0.338358709,0.60501972,0.410877085
종로구,0.022140221,0.218674699,0.011178388,0,0,0.051166085,0,1
중구,0,0.27373494,0,0.076923077,0.348698482,0.725775842,0.047328792,0.837039401
중랑구,0.520295203,0.548192771,0.42617606,0.615384615,0.714208243,0.539077099,0.489637863,0.455694296
